samples	OralSite	colors
765560005-PT	PT	#00CCFF
765034022-ST	ST	#000000
161230322-PT	PT	#00CCFF
451588811-ST	ST	#000000
159510762-ST	ST	#000000
764750800-PT	PT	#00CCFF
158418336-PT	PT	#00CCFF
763456073-ST	ST	#000000
937415040-PT	PT	#00CCFF
764872181-PT	PT	#00CCFF
295137534-PT	PT	#00CCFF
160400887-PT	PT	#00CCFF
158216035-PT	PT	#00CCFF
160218816-ST	ST	#000000
441369442-ST	ST	#000000
763901136-ST	ST	#000000
764002286-ST	ST	#000000
764953101-PT	PT	#00CCFF
764285508-ST	ST	#000000
160137896-PT	PT	#00CCFF
161028021-ST	ST	#000000
159288231-ST	ST	#000000
160461578-PT	PT	#00CCFF
737052003-ST	ST	#000000
208027353-ST	ST	#000000
159247771-PT	PT	#00CCFF
246515023-ST	ST	#000000
160502038-PT	PT	#00CCFF
764285508-PT	PT	#00CCFF
764953101-ST	ST	#000000
161473083-ST	ST	#000000
159328691-ST	ST	#000000
158458797-PT	PT	#00CCFF
161351702-PT	PT	#00CCFF
160097436-PT	PT	#00CCFF
159490532-PT	PT	#00CCFF
160218816-PT	PT	#00CCFF
158964549-PT	PT	#00CCFF
686765762-ST	ST	#000000
161270782-PT	PT	#00CCFF
159814214-PT	PT	#00CCFF
612472597-PT	PT	#00CCFF
161068481-PT	PT	#00CCFF
160461578-ST	ST	#000000
737052003-PT	PT	#00CCFF
765094712-PT	PT	#00CCFF
160663879-ST	ST	#000000
160845950-PT	PT	#00CCFF
160481808-ST	ST	#000000
872848689-ST	ST	#000000
158357646-PT	PT	#00CCFF
159429842-PT	PT	#00CCFF
161270782-ST	ST	#000000
404239096-PT	PT	#00CCFF
160967330-ST	ST	#000000
160239046-ST	ST	#000000
370027359-ST	ST	#000000
160421117-PT	PT	#00CCFF
764083206-ST	ST	#000000
158155345-ST	ST	#000000
158802708-PT	PT	#00CCFF
159227541-PT	PT	#00CCFF
161028021-PT	PT	#00CCFF
158418336-ST	ST	#000000
160967330-PT	PT	#00CCFF
861967750-PT	PT	#00CCFF
158438567-ST	ST	#000000
764224817-ST	ST	#000000
668248235-ST	ST	#000000
160947100-ST	ST	#000000
763901136-PT	PT	#00CCFF
158216035-ST	ST	#000000
159915365-PT	PT	#00CCFF
246515023-PT	PT	#00CCFF
604812005-ST	ST	#000000
160137896-ST	ST	#000000
159268001-PT	PT	#00CCFF
158155345-PT	PT	#00CCFF
159308461-ST	ST	#000000
160056975-PT	PT	#00CCFF
159247771-ST	ST	#000000
158114885-ST	ST	#000000
159328691-PT	PT	#00CCFF
161311242-PT	PT	#00CCFF
161412393-PT	PT	#00CCFF
160906640-ST	ST	#000000
160502038-ST	ST	#000000
160178356-PT	PT	#00CCFF
160441347-ST	ST	#000000
764669880-PT	PT	#00CCFF
159227541-ST	ST	#000000
159814214-ST	ST	#000000
159611913-PT	PT	#00CCFF
159268001-ST	ST	#000000
763719065-PT	PT	#00CCFF
650853796-PT	PT	#00CCFF
158438567-PT	PT	#00CCFF
764224817-PT	PT	#00CCFF
159308461-PT	PT	#00CCFF
765094712-ST	ST	#000000
160016515-ST	ST	#000000
158964549-ST	ST	#000000
159551223-ST	ST	#000000
638754422-PT	PT	#00CCFF
